Harley-Davidson Road Glide Limited,2021,Touring,89.0,0,165.4,1868.0,0,422.8,28299.0
Harley-Davidson Road Glide Special,2021,Touring,100.0,0,160.0,1868.0,0,386.9,26699.0
Harley-Davidson Road King,2021,Touring,89.0,0,150.5,1746.0,0,375.6,19499.0
Harley-Davidson Road King Special,2021,Touring,100.0,0,160.0,1868.0,0,366.1,22999.0
Harley-Davidson Softail Slim,2021,Custom / cruiser,86.0,0,149.2,1746.0,0,304.4,15999.0
Harley-Davidson Softail Standard,2021,Custom / cruiser,0,170.0,149.2,1753.5,292.0,297.1,13599.0
Harley-Davidson Sport Glide,2021,Custom / cruiser,86.0,0,146.5,1746.0,0,317.0,18599.0
Harley-Davidson Street Bob 114,2021,Custom / cruiser,0,0,161.4,1868.2,0,298.9,14999.0
Harley-Davidson Street Glide,2021,Touring,89.0,0,150.5,1746.0,0,376.0,21999.0
Harley-Davidson Street Glide Special,2021,Touring,100.0,0,160.0,1868.0,0,375.1,27099.0
Harley-Davidson Tri Glide Ultra,2021,Touring,100.0,0,164.1,1868.0,0,563.8,34999.0
Harley-Davidson Ultra Limited,2021,Touring,100.0,0,165.4,1868.0,0,415.9,28699.0
Honda ADV150,2021,Scooter,0,0,0,149.0,130.0,0,4299.0
Honda CB500X,2021,Sport,46.4,0,41.3,471.0,240.0,196.9,6999.0
Honda CBR1000RR,2021,Sport,143.5,0,104.0,998.0,256.0,194.1,16499.0
Honda CBR500R,2021,Sport,46.9,0,43.0,471.0,240.0,190.1,6699.0
Honda CBR600RR,2021,Sport,118.0,0,66.0,599.0,220.0,186.0,11899.0
Honda CRF150R,2021,Cross / motocross,23.5,0,14.1,149.0,190.0,83.9,5199.0
Honda CRF250F,2021,Cross / motocross,0,0,0,249.0,220.0,120.2,4699.0
Honda CRF250RX,2021,Enduro / offroad,0,0,0,249.0,240.0,110.7,8399.0
Honda CRF450R,2021,Cross / motocross,53.0,170.0,48.0,449.7,240.0,110.7,9599.0
Honda CRF450RL,2021,Cross / motocross,53.0,170.0,48.0,449.0,240.0,131.1,9999.0
Honda CRF450RX,2021,Enduro / offroad,0,0,0,449.0,240.0,113.9,989.0
Honda Monkey,2021,Allround,0,0,0,124.9,190.0,105.0,3999.0
Honda TRX90X,2021,ATV,0,0,0,86.0,140.0,118.8,3199.0
Honda Trail 125,2021,Allround,0,0,0,124.9,190.0,0,3899.0
Honda XR650L,2021,Enduro / offroad,0,0,0,644.0,0,156.9,6999.0
